id_pair,tanimoto_cdk_Extended,TanimotoCombo,pchembl_distance,target_name,pair_type,frac_similar,similar
1,0.56701030927835,1.989,0.31,CYP2D6,"dis2D,sim3D",0.818181818181818,1
2,0.532051282051282,1.782,0.340000000000001,HERG,"dis2D,sim3D",0.5625,1
3,0.549206349206349,1.778,0.49,CYP2D6,"dis2D,sim3D",0.380952380952381,0
4,0.558951965065502,1.764,1.3,HERG,"dis2D,sim3D",0.75,1
5,0.452685421994885,1.757,0.5,CYP2D6,"dis2D,sim3D",0.652173913043478,1
6,0.626190476190476,1.757,1.44,5HT2B,"dis2D,sim3D",0.411764705882353,0
7,0.467336683417085,1.752,0.09,CYP2D6,"dis2D,sim3D",0.8,1
8,0.521815008726003,1.704,0.2,5HT2B,"dis2D,sim3D",0.655172413793103,1
9,0.387878787878788,1.674,0.399999999999999,HERG,"dis2D,sim3D",0.727272727272727,1
10,0.620253164556962,1.66,0.21,HERG,"dis2D,sim3D",0.857142857142857,1
11,0.274881516587678,1.629,0.949999999999999,5HT2B,"dis2D,sim3D",0.095238095238095,0
12,0.328227571115974,1.627,0.85,5HT2B,"dis2D,sim3D",0.5,0
13,0.323214285714286,1.582,0.66,5HT2B,"dis2D,sim3D",0.157894736842105,0
14,0.481989708404803,1.579,0.2,5HT2B,"dis2D,sim3D",0.454545454545455,0
15,0.590998043052838,1.562,0.1,5HT2B,"dis2D,sim3D",0.65,1
16,0.319634703196347,1.519,1.77,HERG,"dis2D,sim3D",0.411764705882353,0
17,0.42175572519084,1.502,0.25,5HT2B,"dis2D,sim3D",0.3,0
18,0.602536997885835,1.46,1.11,HERG,"dis2D,sim3D",0.448275862068966,0
19,0.369444444444444,1.459,0.180000000000001,CYP2D6,"dis2D,sim3D",0.266666666666667,0
20,0.608200455580866,1.454,0.699999999999999,5HT2B,"dis2D,sim3D",0.48,0
21,0.64468085106383,1.454,0.8,HERG,"dis2D,sim3D",0.785714285714286,1
22,0.200477326968974,1.45,3.04,5HT2B,"dis2D,sim3D",0.368421052631579,0
23,0.348557692307692,1.444,1.09,HERG,"dis2D,sim3D",0.55,1
24,0.538002980625931,1.437,0.0,HERG,"dis2D,sim3D",0.461538461538462,0
25,0.385542168674699,1.412,0.5,CYP2D6,"dis2D,sim3D",0.375,0
26,0.877777777777778,1.191,0.180000000000001,CYP2D6,"sim2D,dis3D",0.75,1
27,0.859154929577465,1.292,0.0,CYP2D6,"sim2D,dis3D",0.655172413793103,1
28,0.857938718662953,1.232,0.3,CYP2D6,"sim2D,dis3D",0.68421052631579,1
29,0.848238482384824,1.137,0.119999999999999,CYP2D6,"sim2D,dis3D",0.478260869565217,0
30,0.829787234042553,1.271,0.3,CYP2D6,"sim2D,dis3D",0.5,0
31,0.825613079019073,1.127,0.300000000000001,CYP2D6,"sim2D,dis3D",0.761904761904762,1
